Date,Jan,Feb,Mar,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,106.56,106.64,106.49,106.67,107.43,109.02,111.99,108.61,110.3,109.27,107.83
2,106.54,106.64,106.49,106.66,107.5,108.96,112.13,108.79,110.42,109.14,107.87
3,106.52,106.65,106.48,106.64,107.64,108.82,112.27,109,110.52,109.08,107.78
4,106.51,106.65,106.47,106.63,107.67,108.72,112.3,109.14,110.58,109.13,107.62
5,106.5,106.65,106.46,106.64,107.72,108.68,112.3,109.36,110.62,109.11,107.51
6,106.52,106.65,106.45,106.66,107.77,108.61,112.3,109.57,110.63,109.04,107.42
7,106.58,106.64,106.44,106.66,107.82,108.56,112.3,109.69,110.61,109,107.51
8,106.63,106.63,106.43,106.66,107.87,108.51,112.28,109.93,110.54,108.97,107.52
9,106.65,106.62,106.42,106.66,107.92,108.56,112.24,110.29,110.42,108.83,107.54
10,106.64,106.6,106.41,106.68,107.99,108.57,112.16,110.47,110.24,108.73,107.57
11,106.63,106.57,106.41,106.71,108.03,108.55,112.04,110.5,109.99,108.68,107.53
12,106.62,106.55,106.4,106.74,107.94,108.62,111.9,110.47,109.66,108.66,107.42
13,106.62,106.54,106.4,106.78,107.82,108.77,111.74,110.37,109.27,108.64,107.39
14,106.63,106.53,106.39,106.82,107.85,108.85,111.56,110.28,108.75,108.59,107.44
15,106.64,106.52,106.38,106.89,107.85,108.78,111.33,110.21,108.24,108.59,107.51
16,106.65,106.52,106.36,106.95,107.87,108.58,111.08,110.19,107.87,108.46,107.56
17,106.65,106.51,106.36,106.98,107.89,108.6,110.78,110.21,107.82,108.15,107.58
18,106.65,106.5,106.36,106.99,107.88,108.62,110.41,110.26,107.78,107.98,107.53
19,106.65,106.49,106.37,106.92,107.87,108.65,109.97,110.3,107.61,107.84,107.49
20,106.64,106.48,106.38,106.83,107.92,108.84,109.43,110.31,107.53,107.74,107.53
21,106.64,106.48,106.42,106.82,108.06,109.11,108.85,110.28,107.38,107.75,107.55
22,106.64,106.5,106.49,106.81,108.23,109.47,108.31,110.22,107.31,107.76,107.57
23,106.63,106.52,106.55,106.81,108.39,110.16,108.01,110.12,107.37,107.88,107.57
24,106.63,106.51,106.61,106.8,108.69,110.76,107.79,109.96,107.44,108.15,107.53
25,106.62,106.51,106.7,106.79,108.49,110.97,107.63,109.95,107.63,107.96,107.31
26,106.62,106.51,106.71,106.76,108.38,111.05,107.56,110.01,107.82,107.86,107.12
27,106.63,106.5,106.7,106.81,108.4,111.03,107.56,110,107.95,107.8,106.85
28,106.63,106.5,106.68,106.98,108.4,111.01,107.68,110.02,108.32,107.82,106.7
29,106.64,,106.68,107.09,108.51,111.05,107.93,110.1,108.76,107.84,106.62
30,106.64,,106.66,107.3,108.88,111.35,108.17,110.19,109.04,107.96,106.59
31,106.64,,106.64,107.38,,111.77,108.39,,109.21,,106.58